04 - 05	98,34	105,16	84,90	52,55	3,54	38,87	58,06	69,97
05 - 06	99,20	114,48	97,18	49,63	5,04	44,41	61,76	77,65
06 - 07	117,04	130,00	115,00	63,49	12,32	66,28	87,70	94,36
07 - 08	144,13	160,00	142,99	73,09	32,53	84,29	112,45	110,07
08 - 09	152,00	175,08	153,77	71,55	25,43	82,90	109,20	114,00
09 - 10	144,17	145,42	149,88	79,86	15,75	63,57	87,94	98,14
10 - 11	130,08	132,57	131,77	79,51	9,07	44,80	59,10	72,28
11 - 12	119,00	120,08	110,03	67,31	0,04	32,26	47,07	69,01
12 - 13	110,99	103,57	122,93	40,00	-0,02	29,28	42,16	60,69
13 - 14	105,60	96,95	100,06	43,77	-0,03	20,54	42,06	59,10
14 - 15	101,55	92,90	80,51	50,62	-0,02	12,26	54,61	66,80
15 - 16	104,94	94,26	98,38	46,06	-0,01	11,22	58,27	70,80
16 - 17	104,57	95,96	87,00	48,35	1,79	29,59	91,10	83,08
17 - 18	111,41	108,59	96,07	77,09	30,36	78,55	119,47	102,46
18 - 19	125,89	136,87	125,91	106,65	65,69	100,80	137,05	120,78
19 - 20	150,01	160,98	164,79	117,86	84,37	116,23	144,43	140,00
20 - 21	132,92	160,00	187,60	112,59	77,00	97,36	122,61	125,98
21 - 22	114,92	133,01	163,68	104,63	69,01	82,58	94,65	109,08
22 - 23	109,90	127,30	142,46	99,42	66,70	76,20	90,78	101,74
23 - 00	94,80	113,54	132,05	94,64	67,31	64,90	78,95	86,93

00 - 01	135,54	126,73	110,85	120,98	74,42	82,19	65,13	89,71
01 - 02	124,12	117,56	110,33	117,01	64,80	63,90	64,90	82,90
02 - 03	120,00	119,25	117,86	119,60	58,51	53,84	57,10	81,05
03 - 04	115,33	117,92	115,57	113,03	60,46	42,50	48,62	78,77
04 - 05	114,85	124,11	116,38	100,43	58,51	39,45	35,51	78,46
05 - 06	124,91	133,56	121,91	110,07	60,46	38,32	42,79	77,15
06 - 07	142,51	166,09	145,35	140,07	58,72	42,50	95,81	91,43
